Mesquite version 3.40 (build 877)   Date: Sat Oct 13 21:30:07 BRT 2018
Window refers to project with home file character_file.nex
File path: /Users/vwraposo/Documents/USP/TCC/code/input/peptides/
=======================

Trace All Characters

Ancestral States:
Reconstructed Ancestral States (Likelihood Ancestral States)
using:
Stored Matrix: Matrix in file "character_file.nex"
======================================
Ancestral states are listed by character and by node on the tree.  Node numbers are shown in red on the tree drawing.

Char.\Node	6
character 1	0:0.5; 1:0.5
character 2	0:0.90591531; 1:0.09408469
character 3	0:0.5; 1:0.5
character 4	0:0.99796466; 1:0.00203534
character 5	0:0.99849706; 1:0.00150294
character 7	0:0.18858305; 1:0.81141695
character 8	0:0.08537079; 1:0.91462921
character 9	0:0.00159521; 1:0.99840479
character 11	0:0.5; 1:0.5
character 12	0:0.87801112; 1:0.12198888
character 13	0:0.08537079; 1:0.91462921
character 14	0:0.00203534; 1:0.99796466
character 15	0:0.00203534; 1:0.99796466
character 16	0:0.95944774; 1:0.04055226
character 17	0:0.66965938; 1:0.33034062
character 18	0:0.5; 1:0.5
character 19	0:0.00156862; 1:0.99843138
character 20	0:0.00159521; 1:0.99840479
character 21	0:0.99840479; 1:0.00159521
character 22	0:0.00150294; 1:0.99849706
character 23	0:0.90365191; 1:0.09634809
character 24	0:0.99843138; 1:0.00156862
character 25	0:0.9036519; 1:0.0963481
character 26	0:0.25503397; 1:0.74496603
character 27	0:0.25503397; 1:0.74496603
character 28	0:0.00203534; 1:0.99796466
character 29	0:0.1720113; 1:0.8279887
character 30	0:0.1720113; 1:0.8279887
character 31	0:0.5; 1:0.5
character 32	0:0.99859055; 1:0.00140945
character 33	0:0.99859055; 1:0.00140945
character 34	0:0.5; 1:0.5
character 36	0:0.99840479; 1:0.00159521
character 38	0:0.9898828; 1:0.0101172
character 39	0:0.5; 1:0.5
character 40	0:0.8591251; 1:0.1408749
character 41	0:0.9036519; 1:0.0963481
character 42	0:0.25128663; 1:0.74871337
character 43	0:0.99859055; 1:0.00140945
character 44	0:0.84952492; 1:0.15047508
character 45	0:0.5; 1:0.5
character 46	0:0.0101172; 1:0.9898828
character 48	0:0.04200474; 1:0.95799526
character 50	0:0.00203534; 1:0.99796466
character 51	0:0.00203534; 1:0.99796466
character 52	0:0.95944774; 1:0.04055226
character 53	0:0.12198888; 1:0.87801112
character 55	0:0.99796466; 1:0.00203534
character 56	0:0.5; 1:0.5
character 57	0:0.25128664; 1:0.74871336
character 58	0:0.90591531; 1:0.09408469
character 60	0:0.99796466; 1:0.00203534
character 61	0:0.00140945; 1:0.99859055
character 62	0:0.00159521; 1:0.99840479
character 63	0:0.12198888; 1:0.87801112
character 64	0:0.99840479; 1:0.00159521
character 65	0:0.5; 1:0.5
character 66	0:0.1720113; 1:0.8279887
character 67	0:0.18344299; 1:0.81655701
character 68	0:0.95944774; 1:0.04055226
character 69	0:0.9036519; 1:0.0963481
character 70	0:0.99859055; 1:0.00140945
character 71	0:0.5; 1:0.5
character 72	0:0.15047508; 1:0.84952492
character 73	0:0.00159521; 1:0.99840479
character 74	0:0.25128664; 1:0.74871336
character 75	0:0.5; 1:0.5
character 76	0:0.5; 1:0.5
character 77	0:0.04200474; 1:0.95799526
character 78	0:0.00159521; 1:0.99840479
character 79	0:0.99843138; 1:0.00156862
character 80	0:0.99859055; 1:0.00140945
character 81	0:0.99849706; 1:0.00150294
character 82	0:0.5; 1:0.5
character 84	0:0.5; 1:0.5
character 85	0:0.8416051; 1:0.1583949
character 86	0:0.5; 1:0.5
character 87	0:0.00140945; 1:0.99859055
character 88	0:0.9898828; 1:0.0101172
character 89	0:0.00203534; 1:0.99796466
character 90	0:0.0101172; 1:0.9898828
character 91	0:0.5; 1:0.5
character 92	0:0.08537079; 1:0.91462921
character 93	0:0.5; 1:0.5
character 94	0:0.00156862; 1:0.99843138
character 95	0:0.99843138; 1:0.00156862
character 96	0:0.84952492; 1:0.15047508
character 97	0:0.84952492; 1:0.15047508
character 98	0:0.99840479; 1:0.00159521
character 99	0:0.99843138; 1:0.00156862
character 100	0:0.99859055; 1:0.00140945
character 101	0:0.5; 1:0.5
character 102	0:0.90365191; 1:0.09634809
character 103	0:0.04200474; 1:0.95799526
character 104	0:0.18344299; 1:0.81655701
character 105	0:0.99843138; 1:0.00156862
character 106	0:0.27924262; 1:0.72075738
character 107	0:0.99840479; 1:0.00159521
character 108	0:0.99859055; 1:0.00140945
character 109	0:0.29488303; 1:0.70511697
character 110	0:0.9898828; 1:0.0101172
character 111	0:0.08537079; 1:0.91462921
character 112	0:0.5; 1:0.5
character 113	0:0.66965939; 1:0.33034061
character 114	0:0.99849706; 1:0.00150294
character 115	0:0.99796466; 1:0.00203534
character 116	0:0.99849706; 1:0.00150294
character 117	0:0.99843138; 1:0.00156862
character 118	0:0.5; 1:0.5
character 119	0:0.5; 1:0.5
character 121	0:0.84952492; 1:0.15047508
character 123	0:0.08537079; 1:0.91462921
character 124	0:0.99849706; 1:0.00150294
character 125	0:0.5; 1:0.5
character 126	0:0.00156862; 1:0.99843138
character 127	0:0.5; 1:0.5
character 128	0:0.99849706; 1:0.00150294
character 129	0:0.22372092; 1:0.77627908
character 131	0:0.8591251; 1:0.1408749
character 133	0:0.99859055; 1:0.00140945
character 134	0:0.90591531; 1:0.09408469
character 135	0:0.81655701; 1:0.18344299
character 137	0:0.08537079; 1:0.91462921
character 138	0:0.25128664; 1:0.74871336
character 139	0:0.26886034; 1:0.73113966
character 140	0:0.99849706; 1:0.00150294
character 141	0:0.93009905; 1:0.06990095
character 143	0:0.1720113; 1:0.8279887
character 144	0:0.99840479; 1:0.00159521
character 145	0:0.95944774; 1:0.04055226
character 146	0:0.9036519; 1:0.0963481
character 147	0:0.04200474; 1:0.95799526
character 148	0:0.12198888; 1:0.87801112
character 149	0:0.1720113; 1:0.8279887
character 150	0:0.1720113; 1:0.8279887
character 151	0:0.9036519; 1:0.0963481
character 152	0:0.08537079; 1:0.91462921
character 153	0:0.66965939; 1:0.33034061
character 154	0:0.5; 1:0.5
character 155	0:0.99849706; 1:0.00150294
character 156	0:0.99849706; 1:0.00150294
character 157	0:0.12198888; 1:0.87801112
character 158	0:0.8591251; 1:0.1408749
character 159	0:0.08537079; 1:0.91462921
character 160	0:0.99840479; 1:0.00159521
character 161	0:0.84952492; 1:0.15047508
character 162	0:0.68625674; 1:0.31374326
character 164	0:0.99840479; 1:0.00159521
character 166	0:0.84952492; 1:0.15047508
character 167	0:0.84952492; 1:0.15047508
character 168	0:0.0101172; 1:0.9898828
character 169	0:0.00159521; 1:0.99840479
character 170	0:0.5; 1:0.5
character 171	0:0.5; 1:0.5
character 172	0:0.5; 1:0.5
character 173	0:0.90365191; 1:0.09634809
character 174	0:0.87801112; 1:0.12198888
character 175	0:0.99859055; 1:0.00140945
character 176	0:0.84952492; 1:0.15047508
character 177	0:0.15839489; 1:0.84160511
character 178	0:0.99843138; 1:0.00156862
character 179	0:0.5; 1:0.5
character 181	0:0.84952492; 1:0.15047508
character 182	0:0.74871337; 1:0.25128663
character 183	0:0.99859055; 1:0.00140945
character 184	0:0.00159521; 1:0.99840479
character 185	0:0.95944774; 1:0.04055226
character 187	0:0.08537079; 1:0.91462921
character 188	0:0.99796466; 1:0.00203534
character 189	0:0.5; 1:0.5
character 190	0:0.68625674; 1:0.31374326
character 191	0:0.5; 1:0.5
