Mesquite version 3.40 (build 877)   Date: Sat Oct 13 21:31:42 BRT 2018
Window refers to project with home file character_file.nex
File path: /Users/vwraposo/Documents/USP/TCC/code/input/peptides/
=======================

Trace All Characters

Ancestral States:
Reconstructed Ancestral States (Likelihood Ancestral States)
using:
Stored Matrix: Matrix in file "character_file.nex"
======================================
Ancestral states are listed by character and by node on the tree.  Node numbers are shown in red on the tree drawing.

Char.\Node	6	10	9	5	2
character 1	0:0.5; 1:0.5	0:0.5; 1:0.5	0:0.5; 1:0.5	0:0.5; 1:0.5	0:0.5; 1:0.5
character 2	0:0.90591531; 1:0.09408469	0:0.58896083; 1:0.41103917	0:0.59925114; 1:0.40074886	0:0.76694173; 1:0.23305827	0:0.79814358; 1:0.20185642
character 3	0:0.5; 1:0.5	0:0.5; 1:0.5	0:0.5; 1:0.5	0:0.5; 1:0.5	0:0.5; 1:0.5
character 4	0:0.99796466; 1:0.00203534	0:0.9986885; 1:0.0013115	0:0.99808719; 1:0.00191281	0:0.99069785; 1:0.00930215	0:0.96302852; 1:0.03697148
character 5	0:0.99849706; 1:0.00150294	0:0.99302843; 1:0.00697157	0:0.97648413; 1:0.02351587	0:0.99679486; 1:0.00320514	0:0.99759726; 1:0.00240274
character 7	0:0.18858305; 1:0.81141695	0:0.74354999; 1:0.25645001	0:0.59732001; 1:0.40267999	0:0.60089994; 1:0.39910006	0:0.65948575; 1:0.34051425
character 8	0:0.08537079; 1:0.91462921	0:0.99756249; 1:0.00243751	0:0.9951073; 1:0.0048927	0:0.97541987; 1:0.02458013	0:0.98490926; 1:0.01509074
character 9	0:0.00159521; 1:0.99840479	0:0.0010456; 1:0.9989544	0:0.00121713; 1:0.99878287	0:0.0054002; 1:0.9945998	0:0.02191051; 1:0.97808949
character 11	0:0.5; 1:0.5	0:0.5; 1:0.5	0:0.5; 1:0.5	0:0.5; 1:0.5	0:0.5; 1:0.5
character 12	0:0.87801112; 1:0.12198888	0:0.63383152; 1:0.36616848	0:0.72795285; 1:0.27204715	0:0.73779378; 1:0.26220622	0:0.71084514; 1:0.28915486
character 13	0:0.08537079; 1:0.91462921	0:0.99756249; 1:0.00243751	0:0.9951073; 1:0.0048927	0:0.97541987; 1:0.02458013	0:0.98490926; 1:0.01509074
character 14	0:0.00203534; 1:0.99796466	0:0.0013115; 1:0.9986885	0:0.00191281; 1:0.99808719	0:0.00930215; 1:0.99069785	0:0.03697148; 1:0.96302852
character 15	0:0.00203534; 1:0.99796466	0:0.0013115; 1:0.9986885	0:0.00191281; 1:0.99808719	0:0.00930215; 1:0.99069785	0:0.03697148; 1:0.96302852
character 16	0:0.95944774; 1:0.04055226	0:0.10208348; 1:0.89791652	0:0.23988992; 1:0.76011008	0:0.76915255; 1:0.23084745	0:0.83475582; 1:0.16524418
character 17	0:0.66965938; 1:0.33034062	0:0.91235081; 1:0.08764919	0:0.8847118; 1:0.1152882	0:0.80525085; 1:0.19474915	0:0.77341863; 1:0.22658137
character 18	0:0.5; 1:0.5	0:0.5; 1:0.5	0:0.5; 1:0.5	0:0.5; 1:0.5	0:0.5; 1:0.5
character 19	0:0.00156862; 1:0.99843138	0:0.06317104; 1:0.93682896	0:0.00942528; 1:0.99057472	0:0.00160078; 1:0.99839922	0:0.0016208; 1:0.9983792
character 20	0:0.00159521; 1:0.99840479	0:0.0010456; 1:0.9989544	0:0.00121713; 1:0.99878287	0:0.0054002; 1:0.9945998	0:0.02191051; 1:0.97808949
character 21	0:0.99840479; 1:0.00159521	0:0.9989544; 1:0.0010456	0:0.99878287; 1:0.00121713	0:0.9945998; 1:0.0054002	0:0.97808949; 1:0.02191051
character 22	0:0.00150294; 1:0.99849706	0:0.00697157; 1:0.99302843	0:0.02351587; 1:0.97648413	0:0.00320514; 1:0.99679486	0:0.00240274; 1:0.99759726
character 23	0:0.90365191; 1:0.09634809	0:0.99875243; 1:0.00124757	0:0.99899264; 1:0.00100736	0:0.9971389; 1:0.0028611	0:0.99758374; 1:0.00241626
character 24	0:0.99843138; 1:0.00156862	0:0.93682896; 1:0.06317104	0:0.99057472; 1:0.00942528	0:0.99839922; 1:0.00160078	0:0.9983792; 1:0.0016208
character 25	0:0.9036519; 1:0.0963481	0:0.99875243; 1:0.00124757	0:0.99899264; 1:0.00100736	0:0.9971389; 1:0.0028611	0:0.99758374; 1:0.00241626
character 26	0:0.25503397; 1:0.74496603	0:0.4366008; 1:0.5633992	0:0.42037349; 1:0.57962651	0:0.48007136; 1:0.51992864	0:0.53692097; 1:0.46307903
character 27	0:0.25503397; 1:0.74496603	0:0.4366008; 1:0.5633992	0:0.42037349; 1:0.57962651	0:0.48007136; 1:0.51992864	0:0.53692097; 1:0.46307903
character 28	0:0.00203534; 1:0.99796466	0:0.0013115; 1:0.9986885	0:0.00191281; 1:0.99808719	0:0.00930215; 1:0.99069785	0:0.03697148; 1:0.96302852
character 29	0:0.1720113; 1:0.8279887	0:0.65401823; 1:0.34598177	0:0.45680757; 1:0.54319243	0:0.39222777; 1:0.60777223	0:0.39863639; 1:0.60136361
character 30	0:0.1720113; 1:0.8279887	0:0.65401823; 1:0.34598177	0:0.45680757; 1:0.54319243	0:0.39222777; 1:0.60777223	0:0.39863639; 1:0.60136361
character 31	0:0.5; 1:0.5	0:0.5; 1:0.5	0:0.5; 1:0.5	0:0.5; 1:0.5	0:0.5; 1:0.5
character 32	0:0.99859055; 1:0.00140945	0:0.95584952; 1:0.04415048	0:0.99351363; 1:0.00648637	0:0.99885615; 1:0.00114385	0:0.99870495; 1:0.00129505
character 33	0:0.99859055; 1:0.00140945	0:0.95584953; 1:0.04415047	0:0.99351363; 1:0.00648637	0:0.99885615; 1:0.00114385	0:0.99870495; 1:0.00129505
character 34	0:0.5; 1:0.5	0:0.5; 1:0.5	0:0.5; 1:0.5	0:0.5; 1:0.5	0:0.5; 1:0.5
character 36	0:0.99840479; 1:0.00159521	0:0.9989544; 1:0.0010456	0:0.99878287; 1:0.00121713	0:0.9945998; 1:0.0054002	0:0.97808949; 1:0.02191051
character 38	0:0.9898828; 1:0.0101172	0:0.30912647; 1:0.69087353	0:0.84151873; 1:0.15848127	0:0.96015543; 1:0.03984457	0:0.97092476; 1:0.02907524
character 39	0:0.5; 1:0.5	0:0.5; 1:0.5	0:0.5; 1:0.5	0:0.5; 1:0.5	0:0.5; 1:0.5
character 40	0:0.8591251; 1:0.1408749	0:0.12172257; 1:0.87827743	0:0.20148886; 1:0.79851114	0:0.41511614; 1:0.58488386	0:0.43982352; 1:0.56017648
character 41	0:0.9036519; 1:0.0963481	0:0.99875243; 1:0.00124757	0:0.99899264; 1:0.00100736	0:0.9971389; 1:0.0028611	0:0.99758374; 1:0.00241626
character 42	0:0.25128663; 1:0.74871337	0:0.53810044; 1:0.46189956	0:0.60112596; 1:0.39887404	0:0.58461286; 1:0.41538714	0:0.62102323; 1:0.37897677
character 43	0:0.99859055; 1:0.00140945	0:0.95584952; 1:0.04415048	0:0.99351363; 1:0.00648637	0:0.99885615; 1:0.00114385	0:0.99870495; 1:0.00129505
character 44	0:0.84952492; 1:0.15047508	0:0.99839245; 1:0.00160755	0:0.99849092; 1:0.00150908	0:0.99522746; 1:0.00477254	0:0.99625745; 1:0.00374255
character 45	0:0.5; 1:0.5	0:0.5; 1:0.5	0:0.5; 1:0.5	0:0.5; 1:0.5	0:0.5; 1:0.5
character 46	0:0.0101172; 1:0.9898828	0:0.69087353; 1:0.30912647	0:0.15848127; 1:0.84151873	0:0.03984457; 1:0.96015543	0:0.02907524; 1:0.97092476
character 48	0:0.04200474; 1:0.95799526	0:0.0384877; 1:0.9615123	0:0.07428151; 1:0.92571849	0:0.20958243; 1:0.79041757	0:0.43287988; 1:0.56712012
